time,dev_eui,temperature
2024-05-13 19:35:43.636+00,647fda000000aa92,18.1
2024-05-14 05:35:43.804+00,647fda000000aa92,13.5
2024-05-13 19:50:43.638+00,647fda000000aa92,17.9
2024-05-13 20:35:43.646+00,647fda000000aa92,17.3
2024-05-13 20:20:43.643+00,647fda000000aa92,17.4
2024-05-13 20:50:43.6546+00,647fda000000aa92,17.1
2024-05-13 21:05:43.652+00,647fda000000aa92,17.1
2024-05-13 22:05:43.664+00,647fda000000aa92,16.5
2024-05-13 21:20:43.655+00,647fda000000aa92,17.0
2024-05-13 22:20:43.668+00,647fda000000aa92,16.3
2024-05-13 22:35:43.672+00,647fda000000aa92,16.1
2024-05-13 21:35:43.658+00,647fda000000aa92,16.8
2024-05-13 23:50:43.692+00,647fda000000aa92,15.4
2024-05-13 21:50:43.661+00,647fda000000aa92,16.6
2024-05-13 22:50:43.676+00,647fda000000aa92,16.0
2024-05-14 05:50:43.811+00,647fda000000aa92,13.9
2024-05-13 23:20:43.684+00,647fda000000aa92,15.7
2024-05-14 01:05:43.714+00,647fda000000aa92,14.9
2024-05-13 23:35:43.69334+00,647fda000000aa92,15.6
2024-05-14 00:05:43.696+00,647fda000000aa92,15.3
2024-05-14 00:20:43.708542+00,647fda000000aa92,15.3
2024-05-13 23:05:43.679+00,647fda000000aa92,15.8
2024-05-14 00:35:43.706+00,647fda000000aa92,15.1
2024-05-14 01:20:43.72+00,647fda000000aa92,14.7
2024-05-14 00:50:43.71+00,647fda000000aa92,15.0
2024-05-30 23:50:48.633+00,647fda000000aa92,15.6
2024-05-14 02:20:43.74+00,647fda000000aa92,14.1
2024-05-14 01:35:43.725+00,647fda000000aa92,14.6
2024-05-14 02:35:43.746+00,647fda000000aa92,14.1
2024-05-14 01:50:43.73+00,647fda000000aa92,14.5
2024-05-14 06:05:43.816+00,647fda000000aa92,14.5
2024-05-14 02:05:43.735+00,647fda000000aa92,14.3
2024-05-14 03:20:43.75+00,647fda000000aa92,13.7
2024-05-14 02:50:43.749+00,647fda000000aa92,13.9
2024-05-14 03:35:43.756+00,647fda000000aa92,13.5
2024-05-14 03:05:43.748+00,647fda000000aa92,13.8
2024-05-14 04:05:43.774409+00,647fda000000aa92,13.3
