time,dev_eui,temperature
2023-05-30 03:19:08.675+00,647fda000000aa92,23.7
2023-05-23 19:34:09.206+00,647fda000000aa92,23.9
2023-05-30 03:34:08.674+00,647fda000000aa92,23.7
2023-05-23 19:49:09.205+00,647fda000000aa92,23.9
2023-05-23 20:04:09.204+00,647fda000000aa92,23.9
2023-05-23 20:19:12.21+00,647fda000000aa92,23.8
2023-05-23 20:34:09.203+00,647fda000000aa92,23.8
2023-05-23 20:49:09.201+00,647fda000000aa92,23.8
2023-05-23 21:04:12.207+00,647fda000000aa92,23.7
2023-05-23 21:19:09.2+00,647fda000000aa92,23.8
2023-05-23 21:34:09.204+00,647fda000000aa92,23.7
2023-05-23 21:49:09.204+00,647fda000000aa92,23.6
2023-05-23 22:04:09.196+00,647fda000000aa92,23.6
2023-05-23 22:19:09.197+00,647fda000000aa92,23.6
2023-05-30 03:49:08.673+00,647fda000000aa92,23.6
2023-05-26 17:49:08.984+00,647fda000000aa92,23.8
2023-05-26 18:04:08.983+00,647fda000000aa92,23.8
2023-05-26 18:19:08.983+00,647fda000000aa92,23.8
2023-05-26 18:34:08.983+00,647fda000000aa92,23.8
2023-05-26 19:19:08.98+00,647fda000000aa92,23.7
2023-05-26 19:34:08.985+00,647fda000000aa92,23.6
2023-05-26 19:49:08.984+00,647fda000000aa92,23.6
2023-05-26 20:04:08.977+00,647fda000000aa92,23.6
2023-05-26 20:19:08.977+00,647fda000000aa92,23.5
2023-05-30 04:34:08.669+00,647fda000000aa92,23.6
2023-05-23 22:34:09.195+00,647fda000000aa92,23.6
2023-05-30 04:49:08.674+00,647fda000000aa92,23.7
2023-05-23 22:49:09.195+00,647fda000000aa92,23.6
2023-05-23 23:04:09.194+00,647fda000000aa92,23.5
2023-05-23 23:19:09.193+00,647fda000000aa92,23.5
2023-05-23 23:34:09.193+00,647fda000000aa92,23.5
2023-05-23 23:49:09.191+00,647fda000000aa92,23.5
2023-05-24 00:04:09.19+00,647fda000000aa92,23.5
2023-05-24 00:19:09.19+00,647fda000000aa92,23.5
2023-05-24 00:49:09.188+00,647fda000000aa92,23.4
2023-05-24 01:04:09.188+00,647fda000000aa92,23.4
2023-05-24 01:19:09.188+00,647fda000000aa92,23.4
2023-05-24 01:34:09.187+00,647fda000000aa92,23.3
2023-05-26 20:34:08.976+00,647fda000000aa92,23.5
2023-05-26 20:49:08.976+00,647fda000000aa92,23.5
2023-05-24 01:49:09.185+00,647fda000000aa92,23.3
2023-05-26 21:04:08.975+00,647fda000000aa92,23.5
2023-05-26 21:19:08.973+00,647fda000000aa92,23.4
2023-05-26 21:34:11.979+00,647fda000000aa92,23.4
2023-05-26 21:49:08.972+00,647fda000000aa92,23.4
2023-05-26 22:04:08.971+00,647fda000000aa92,23.3
2023-05-26 22:19:08.971+00,647fda000000aa92,23.3
2023-05-26 22:34:08.971+00,647fda000000aa92,23.3
2023-05-26 22:49:08.969+00,647fda000000aa92,23.2
2023-05-30 05:04:08.673+00,647fda000000aa92,23.7
2023-05-30 05:19:08.666+00,647fda000000aa92,23.6
2023-05-30 05:34:08.666+00,647fda000000aa92,23.7
2023-05-30 05:49:08.665+00,647fda000000aa92,23.7
2023-05-30 06:04:08.665+00,647fda000000aa92,23.8
2023-05-30 06:19:08.664+00,647fda000000aa92,23.7
2023-05-30 06:34:08.662+00,647fda000000aa92,23.8
2023-05-30 06:49:08.661+00,647fda000000aa92,23.9
2023-05-30 07:04:08.66+00,647fda000000aa92,23.9
2023-05-30 07:19:08.659+00,647fda000000aa92,24.0
2023-05-26 23:04:08.968+00,647fda000000aa92,23.2
2023-05-24 02:04:09.185+00,647fda000000aa92,23.3
2023-05-26 23:19:08.968+00,647fda000000aa92,23.2
2023-05-30 07:34:08.658+00,647fda000000aa92,24.0
2023-05-24 02:19:09.184+00,647fda000000aa92,23.3
